Desktop File	App Name	Exec Command	Categories	Comment
dusky_network.desktop	Dusky Network	foot --app-id=dusky_tui python3 /home/kshitij/user_scripts/network_manager/tui_dusky_network.py	Network;Settings;	Arch Linux / Hyprland WiFi Manager (TUI)
dusky_packages.desktop	Dusky Package Atlas	foot --app-id=dusky_packages.sh /home/kshitij/user_scripts/pacman/dusky_packages.sh --desktop	System;Utility;TerminalEmulator;	Interactive FZF Arch Linux Package Explorer
dusky_power.desktop	Dusky Power	kitty --class dusky_power.sh -e /home/kshitij/user_scripts/power/dusky_power.sh	Settings;System;Utility;ConsoleOnly;	Systemd Logind Power Management (Lid, Power Button, Idle)
dusky_power_limiter.desktop	Dusky Power Limiter	foot --app-id=dusky_tui python3 /home/kshitij/user_scripts/performance/cpu/tui_dusky_power_throttle.py	Settings;System;Utility;	Configure CPU RAPL PL1/PL2 power limits and time windows
dusky_quickpanal.desktop	Dusky Quick Panal	/home/kshitij/user_scripts/dusky_system/quickpanal/dusky_quickpanal.py	Audio;HardwareSettings;Settings;Utility;	Adjust Various Settings
dusky_screentime_tui.desktop	Dusky Screentime	kitty --class dusky_screentime_tui -e python3 /home/kshitij/user_scripts/screentime/screentime_tui.py	System;Monitor;Utility;	Real-time application screentime visualization dashboard
dusky_service_toggle.desktop	Dusky Toggle Service	foot --app-id=dusky_tui python3 /home/kshitij/user_scripts/services/tui_service_toggle.py	Settings;System;	Configure Service Settings
dusky_site_blocker.desktop	Dusky Site Blocker	kitty --hold --class 325_hosts_files_block.sh -e /home/kshitij/user_scripts/arch_setup_scripts/scripts/325_hosts_files_block.sh	System;Utility;ConsoleOnly;	Advanced /etc/hosts manager for deep work and distraction blocking
dusky_sites.desktop	Dusky Sites TUI	foot --app-id=dusky_tui python3 /home/kshitij/user_scripts/firefox/theme_matugen/tui_dusky_sites.py	Settings;DesktopSettings;Network;WebBrowser;	Real-time website theming and domain toggle manager
dusky_snapshot.desktop	Dusky Snapshot	kitty --class dusky_snapshot_manager.py /home/kshitij/user_scripts/btrfs_snapshots/cc/dusky_snapshot_manager.py	dusky;btrfs;backup;restore;System;Utility;	Advanced Btrfs/Snapper Flat Layout Manager
dusky_starship.desktop	Dusky Starship	kitty --app-id=dusky_tui python3 /home/kshitij/user_scripts/starship/tui_starship.py	Settings;DesktopSettings;	Switch between Starship prompt styles
dusky_visualizer_tui.desktop	Dusky Visualizer TUI	foot --app-id=dusky_tui python3 /home/kshitij/user_scripts/way_layers/visualizer/tui_visualizer.py	Settings;DesktopSettings;	Launch Dusky TUI for Audio Visualizer
dusky_waybars.desktop	Dusky Waybar Swap	foot --app-id=waybar_tui python3 /home/kshitij/user_scripts/waybar/tui_waybars.py	Settings;DesktopSettings;	Toggle between Waybar configurations
dusky_wayclick_config.desktop	Dusky WayClick TUI	kitty --class dusky_tui_wayclick.sh -e /home/kshitij/user_scripts/wayclick/dusky_tui_wayclick.sh	Settings;DesktopSettings;System;Utility;	WayClick configurator TUI
dusky_window_rules.desktop	Window Rule Manager	foot --app-id=dusky_window_rules.sh /home/kshitij/user_scripts/hypr/rules/window_rules_generator.py	System;Utility;Development;	Interactive TUI to generate and append Hyprland window rules
dusky_workspace.desktop	Dusky Workspace TUI	foot --app-id=dusky_tui python3 /home/kshitij/user_scripts/hypr/workspace/tui_workspace_rules.py	Settings;DesktopSettings;System;Utility;	Toggle different Layouts
fastfetch.desktop	Fastfetch	kitty --class fastfetch --hold -e fastfetch	System;Monitor;ConsoleOnly;	Display system information
firefox.desktop	Firefox	/usr/lib/firefox/firefox %u	GNOME;GTK;Network;WebBrowser;	Fast and private browser
foot-server.desktop	Foot Server	foot --server	System;TerminalEmulator;	A wayland native terminal emulator (server)
foot.desktop	Foot	foot	System;TerminalEmulator;	A wayland native terminal emulator
footclient.desktop	Foot Client	footclient	System;TerminalEmulator;	A wayland native terminal emulator (client)
gammastep-indicator.desktop	Gammastep Indicator	gammastep-indicator	Utility;	Indicator for color temperature adjustment
gammastep.desktop	gammastep	gammastep	Utility;	Color temperature adjustment tool
gcr-prompter.desktop	Access Prompt	/usr/lib/gcr-prompter		Unlock access to passwords and other secrets
gcr-viewer.desktop	View file	/usr/bin/gcr-viewer		
