pahole 1:1.31-2
pam 1.7.2-2
pam-u2f 1.4.0-2
pambase 20260616-1
pamixer 1.6-4
pango 1:1.58.2-1
pangomm 2.46.5-1
pangomm-2.48 2.56.2-1
papirus-folders 1.14.0-1
papirus-icon-theme 20260801-1
parallel 20260722-1
parted 3.7-1
paru 2.1.0-2
passim 0.1.12-1
patch 2.8-1
pavucontrol 1:6.2-1
pciutils 3.15.0-1
pcre 8.45-5
pcre2 10.47-1
pcsclite 2.5.1-1
peaclock 0.4.3-2
peg 0.1.19-1
perl 5.42.2-2
perl-class-inspector 1.36-10
perl-clone 0.50-1
perl-curses 1.46-1
